latitude,longitude,frp,brightness_k,confidence,nearest_facility,distance_km,classification,severity
8.50601,80.53648,10.21,339.22,n,None,1413.29,Agricultural / Stubble Burning,MODERATE
8.50888,80.17417,10.01,354.53,n,None,1415.99,Agricultural / Stubble Burning,MODERATE
8.55598,80.87775,5.35,335.73,n,None,1405.87,Agricultural / Stubble Burning,MODERATE
8.57436,80.76235,7.34,336.16,n,None,1404.36,Agricultural / Stubble Burning,MODERATE
8.57594,80.76398,7.74,336.03,n,None,1404.17,Agricultural / Stubble Burning,MODERATE
8.59022,80.93218,10.06,339.24,n,None,1401.85,Agricultural / Stubble Burning,MODERATE
8.59064,80.60149,7.12,333.61,n,None,1403.47,Agricultural / Stubble Burning,MODERATE
8.60761,80.38096,2.75,333.57,n,None,1403.19,Agricultural / Stubble Burning,MODERATE
8.61894,80.47482,11.07,341.77,n,None,1401.2,Agricultural / Stubble Burning,MODERATE
8.64861,80.37698,2.77,332.81,n,None,1398.68,Agricultural / Stubble Burning,MODERATE
8.65176,81.00031,5.52,335.77,n,None,1394.78,Agricultural / Stubble Burning,MODERATE
8.71072,80.17675,3.48,342.12,n,None,1393.61,Agricultural / Stubble Burning,MODERATE
8.73159,80.35374,2.52,332.03,n,None,1389.67,Agricultural / Stubble Burning,MODERATE
8.73255,80.35361,2.9,331.42,n,None,1389.57,Agricultural / Stubble Burning,MODERATE
8.82634,80.8719,8.93,330.43,n,None,1375.85,Agricultural / Stubble Burning,MODERATE
8.83713,80.99182,6.93,342.96,n,None,1374.21,Agricultural / Stubble Burning,MODERATE
8.83843,80.99353,9.53,342.38,n,None,1374.06,Agricultural / Stubble Burning,MODERATE
8.86342,80.68942,6.84,337.74,n,None,1372.65,Agricultural / Stubble Burning,MODERATE
8.87713,80.65346,27.45,343.41,n,None,1371.34,Wildfire / Forest Thermal Event,HIGH
8.87997,80.6513,11.41,335.16,n,None,1371.04,Agricultural / Stubble Burning,MODERATE
8.88096,80.65672,13.05,341.19,n,None,1370.89,Agricultural / Stubble Burning,MODERATE
8.94751,80.86004,7.29,330.31,n,None,1362.44,Agricultural / Stubble Burning,MODERATE
9.11983,80.27057,2.86,340.54,n,None,1347.39,Agricultural / Stubble Burning,MODERATE
27.76085,96.31447,12.89,367.0,h,None,1157.29,Agricultural / Stubble Burning,MODERATE
27.76173,96.05025,30.46,367.0,h,None,1134.07,Wildfire / Forest Thermal Event,HIGH
27.99545,94.19669,7.15,367.0,h,None,989.83,Agricultural / Stubble Burning,MODERATE
27.99705,94.19421,4.76,334.8,n,None,989.73,Agricultural / Stubble Burning,MODERATE
27.99753,94.20003,5.08,331.57,n,None,990.23,Agricultural / Stubble Burning,MODERATE
21.09986,72.63593,16.4,367.0,h,None,306.75,Agricultural / Stubble Burning,MODERATE
21.10254,72.64712,16.69,332.28,n,None,307.61,Agricultural / Stubble Burning,MODERATE
22.35861,82.30355,8.07,339.08,n,None,161.18,Agricultural / Stubble Burning,MODERATE
22.57294,85.89919,6.26,333.56,n,None,39.06,Agricultural / Stubble Burning,MODERATE
22.57568,85.89491,2.21,327.48,n,None,39.19,Agricultural / Stubble Burning,MODERATE
23.69744,86.0788,3.98,332.04,n,None,99.87,Agricultural / Stubble Burning,MODERATE
27.50222,69.06162,11.92,348.59,n,None,568.41,Agricultural / Stubble Burning,MODERATE
27.50323,69.05852,15.12,336.53,n,None,568.57,Agricultural / Stubble Burning,MODERATE
27.75157,74.47194,3.31,343.81,n,None,318.46,Agricultural / Stubble Burning,MODERATE
27.75231,74.47518,5.24,336.59,n,None,318.14,Agricultural / Stubble Burning,MODERATE
27.75248,74.47375,6.72,350.83,n,None,318.28,Agricultural / Stubble Burning,MODERATE
27.75653,74.47059,3.31,337.62,n,None,318.61,Agricultural / Stubble Burning,MODERATE
30.62286,73.82132,9.0,336.28,n,None,505.28,Agricultural / Stubble Burning,MODERATE
30.85914,74.36917,21.78,347.79,n,None,485.97,Agricultural / Stubble Burning,MODERATE
30.98748,74.20461,9.25,340.2,n,None,507.1,Agricultural / Stubble Burning,MODERATE
